# Items: 10000, Weight: 250000
# Index, Weight, Price
0 37 540
1 65 936
2 91 640
3 67 408
4 36 568
5 93 196
6 22 250
7 56 879
8 88 229
9 87 373
10 8 838
11 50 72
12 73 34
13 71 36
14 9 140
15 37 432
16 55 848
17 98 566
18 72 995
19 42 850
20 24 298
21 19 41
22 1 302
23 50 257
24 85 805
25 30 250
26 95 819
27 27 957
28 74 738
29 77 145
30 12 256
31 24 413
32 9 604
33 15 839
34 75 829
35 44 184
36 61 917
37 92 773
38 90 229
39 13 506
40 95 793
41 37 537
42 84 696
43 2 118
44 56 399
45 87 412
46 15 866
47 27 58
48 61 596
49 34 714
50 17 883
51 85 795
52 99 447
53 51 273
54 83 818
55 6 267
56 60 786
57 82 896
58 15 338
59 17 969
60 59 716
61 80 933
62 25 961
63 14 228
64 27 832
65 82 787
66 50 309
67 67 296
68 92 143
69 60 299
70 63 737
71 53 898
72 31 746
73 67 421
74 5 126
75 66 712
76 32 895
77 15 733
78 17 846
79 29 536
80 73 463
81 42 334
82 95 615
83 82 330
84 92 632
85 81 346
86 4 433
87 34 875
88 66 84
89 26 960
90 36 484
91 12 890
92 56 655
93 12 999
94 24 519
95 6 788
96 91 317
97 50 929
98 77 921
99 36 875
100 72 70
101 67 815
102 56 887
103 92 372
104 31 475
105 47 24
106 87 70
107 32 309
108 56 596
109 60 15
110 89 900
111 4 967
112 36 382
113 70 869
114 61 314
115 49 467
116 83 186
117 20 923
118 41 562
119 51 974
120 25 796
121 21 229
122 37 568
123 72 419
124 81 978
125 66 865
126 89 905
127 59 913
128 82 438
129 55 253
130 79 870
131 61 49
132 52 507
133 53 483
134 32 571
135 41 912
136 38 873
137 51 664
138 14 897
139 33 32
140 30 179
141 24 359
142 34 802
143 79 412
144 5 2
145 76 886
146 23 360
147 13 201
148 17 171
149 69 626
150 87 646
151 95 918
152 80 646
153 9 714
154 69 470
155 89 103
156 47 851
157 52 747
158 97 390
159 88 551
160 16 889
161 79 785
162 83 135
163 26 606
164 82 698
165 46 435
166 45 725
167 38 664
168 59 698
169 8 773
170 24 361
171 25 608
172 22 940
173 32 116
174 25 293
175 19 8
176 8 177
177 34 958
178 53 910
179 33 716
180 5 504
181 42 374
182 10 18
183 13 584
184 42 907
185 31 570
186 27 7
187 49 399
188 21 386
189 73 587
190 77 713
191 74 234
192 57 838
193 32 264
194 67 363
195 44 604
196 80 717
197 37 975
198 61 248
199 61 210
200 78 657
201 32 196
202 92 500
203 76 977
204 25 966
205 50 862
206 29 872
207 98 62
208 38 662
209 40 435
210 79 89
211 5 709
212 52 902
213 30 643
214 26 492
215 99 313
216 73 666
217 27 657
218 48 236
219 90 10
220 19 900
221 65 686
222 85 724
223 12 450
224 70 146
225 4 792
226 49 561
227 6 208
228 66 736
229 7 324
230 42 571
231 6 68
232 41 677
233 9 596
234 1 805
235 78 698
236 47 257
237 61 105
238 95 528
239 34 437
240 78 86
241 83 827
242 78 536
243 16 105
244 19 31
245 97 125
246 84 994
247 78 542
248 74 92
249 29 688
250 88 675
251 41 623
252 39 845
253 25 234
254 30 885
255 42 875
256 33 527
257 42 959
258 20 523
259 76 697
260 61 46
261 60 429
262 11 583
263 29 174
264 21 600
265 21 658
266 91 176
267 97 128
268 39 728
269 30 176
270 16 497
271 22 902
272 32 374
273 26 333
274 17 27
275 67 818
276 69 100
277 77 636
278 23 863
279 92 34
280 20 652
281 86 248
282 11 553
283 70 390
284 14 401
285 35 21
286 74 250
287 32 553
288 58 545
289 9 765
290 45 665
291 9 566
292 62 526
293 96 961
294 86 830
295 59 675
296 11 619
297 18 202
298 41 17
299 84 777
300 45 572
301 80 458
302 9 386
303 38 257
304 51 817
305 44 763
306 34 828
307 24 897
308 14 334
309 94 595
310 44 111
311 12 933
312 81 478
313 52 447
314 69 862
315 77 13
316 30 206
317 6 525
318 62 594
319 30 359
320 15 676
321 88 607
322 85 247
323 47 962
324 65 915
325 52 803
326 84 208
327 53 295
328 75 158
329 42 867
330 95 719
331 3 413
332 25 68
333 9 672
334 19 457
335 30 925
336 26 182
337 57 597
338 71 118
339 40 812
340 20 437
341 38 428
342 33 209
343 73 439
344 18 109
345 14 939
346 64 510
347 92 468
348 83 487
349 93 960
350 47 264
351 49 778
352 13 783
353 26 287
354 8 249
355 16 127
356 99 448
357 46 707
358 51 632
359 4 364
360 87 66
361 32 458
362 34 358
363 6 686
364 14 463
365 24 538
366 5 431
367 38 424
368 90 320
369 3 627
370 26 116
371 80 21
372 11 553
373 57 178
374 17 631
375 23 919
376 73 696
377 14 485
378 69 610
379 60 534
380 26 640
381 79 875
382 40 682
383 37 56
384 98 537
385 20 914
386 94 757
387 1 136
388 75 935
389 13 348
390 83 574
391 40 92
392 87 754
393 6 456
394 82 301
395 11 640
396 21 414
397 73 533
398 4 519
399 30 431
400 69 85
401 54 566
402 78 473
403 30 410
404 70 812
405 42 75
406 29 365
407 26 973
408 47 667
409 97 735
410 29 508
411 7 636
412 41 872
413 25 812
414 69 828
415 76 10
416 87 212
417 91 34
418 74 304
419 41 585
420 32 228
421 81 574
422 43 418
423 42 29
424 68 608
425 98 774
426 90 78
427 53 795
428 68 322
429 30 558
430 35 602
431 66 674
432 81 442
433 90 899
434 88 857
435 14 464
436 53 221
437 17 93
438 21 7
439 58 683
440 46 525
441 89 708
442 72 277
443 94 473
444 78 652
445 6 913
446 96 561
447 76 831
448 5 631
449 98 703
450 49 537
451 81 174
452 99 155
453 54 824
454 63 810
455 10 905
456 48 214
457 84 32
458 31 952
459 53 150
460 7 513
461 41 94
462 11 303
463 73 472
464 22 744
465 22 339
466 68 147
467 13 169
468 3 635
469 7 306
470 42 17
471 97 248
472 89 550
473 22 512
474 80 614
475 51 210
476 48 834
477 94 690
478 12 427
479 40 835
480 46 829
481 81 585
482 97 416
483 98 126
484 9 452
485 25 690
486 86 828
487 50 70
488 58 520
489 76 437
490 55 613
491 62 595
492 69 269
493 23 243
494 17 721
495 57 513
